Species,Pathogen,Parameter,FunctionType,q,Tmin,Tmax,Author,Year,Notes
Aedes aegypti,NA,MDR,Briere,7.86E-05,1.14E+01,3.92E+01,Tesla,2018,
Aedes aegypti,NA,EFD,Briere,8.56E-03,1.46E+01,3.46E+01,Tesla,2018,
Aedes aegypti,NA,BitingRate,Briere,2.02E-04,1.34E+01,4.01E+01,Tesla,2018,
Culex quinquefasciatus,NA,lf,Linear,3.80E+00,NA,3.59E+01,Mordecai,2019,
Culex quinquefasciatus,NA,lf,Linear,3.8,NA,3.59E+01,Shocket,2020,
Aedes aegypti,NA,lf,Quadratic,1.48E-01,9.16E+00,3.77E+01,Mordecai,2017,
Aedes albopictus,NA,lf,Quadratic,1.43E+00,1.34E+01,3.15E+01,Mordecai,2017,
Aedes spp.,NA,lf,Quadratic,1.24E+00,1.66E+01,3.19E+01,Mordecai,2017,
Aedes aegypti,NA,pEA,Quadratic,5.99E-03,1.36E+01,3.83E+01,Mordecai,2017,
Aedes albopictus,NA,pEA,Quadratic,3.61E-03,9.04E+00,3.93E+01,Mordecai,2017,
Aedes spp.,NA,pEA,Quadratic,3.36E-03,7.68E+00,3.83E+01,Mordecai,2017,
Culex tarsalis,SLEV,b,Quadratic,2.98E-03,10.8,41.6,Mordecai,2019,
Culex tarsalis,WEEV,b,Quadratic,3.17E-03,8.2,33.5,Mordecai,2019,
Culex tarsalis,WNV,b,Quadratic,2.94E-03,11.3,41.9,Mordecai,2019,
Anopheles spp.,P.fal.,bc,Quadratic,6.13E-03,12.6,35.9,Mordecai,2019,
Aedes taeniorhyncus,SINV,c,Quadratic,1.24E-03,1.4,48.4,Mordecai,2019,
Culex pipiens,SINV,c,Quadratic,1.33E-03,0,35,Mordecai,2019,
Culex tarsalis,SLEV,c,Quadratic,2.03E-03,8.8,43.7,Mordecai,2019,
Culex tarsalis,WEEV,c,Quadratic,3.04E-03,1.3,38.8,Mordecai,2019,
Culex pipiens,WNV,c,Quadratic,2.56E-03,15.6,52.2,Mordecai,2019,
Culex quinquefasciatus,NA,ER,Quadratic,6.36E-01,5.00E+00,3.77E+01,Mordecai,2019,ER (eggs per raft?)
Aedes aegypti,DENV,lf,Quadratic,1.44E-01,9,37.7,Mordecai,2019,
Aedes albopictus,NA,lf,Quadratic,1.39,13.5,31.4,Mordecai,2019,
Aedes aegypti,ZIKV,lf,Quadratic,2.96E-01,11.7,37.2,Mordecai,2019,
Aedes aegypti,NA,pEA,Quadratic,5.99E-03,13.6,38.3,Mordecai,2019,
Aedes albopictus,NA,pEA,Quadratic,3.56E-03,9.1,39.3,Mordecai,2019,
Culex quinquefasciatus,NA,pLA,Quadratic,4.26E-03,8.90E+00,3.77E+01,Mordecai,2019,probability of transitioning from larva to adult
Aedes Vigilax,RRV,bc,Quadratic,2.88E-03,6.00E+00,4.27E+01,Shocket,2.02E+03,
Culex quinquefasciatus,WNV,bc,Quadratic,2.32E-03,4.2,45.2,Shocket,2020,using data for Culex univittatus
Culex annulirostris,NA,EFD,Quadratic,5.84E-03,1.47E+01,3.14E+01,Shocket,2.02E+03,
Aedes spp.,NA,EFD,Quadratic,9.47E-03,1.34E+01,3.39E+01,Shocket,2.02E+03,
Culex quinquefasciatus,NA,ER,Quadratic,6.36E-01,5,37.7,Shocket,2020,
Culex annulirostris,NA,lf,Quadratic,2.41E-01,13,33.6,Shocket,2.02E+03,
Aedes aegypti,NA,lf,Quadratic,1.09E-01,6.40E+00,3.93E+01,Shocket,2.02E+03,
Culex annulirostris,NA,nLR,Quadratic,2.73E-03,1.70E+01,3.72E+01,Shocket,2.02E+03,within-raft egg survival (number of larvae per raft)
Culex quinquefasciatus,NA,pLA,Quadratic,4.26E-03,8.9,37.7,Shocket,2020,
Culex annulirostris,NA,pLA,Quadratic,5.39E-03,1.49E+01,3.91E+01,Shocket,2.02E+03,larval-to-adult survival
Culex annulirostris,NA,pRH,Quadratic,6.78E-03,1.43E+01,3.81E+01,Shocket,2.02E+03,probability of raft hatching
Aedes aegypti,ZIKV,bc,Quadratic,3.54E-03,22.72,38.38,Tesla,2018,
Aedes aegypti,NA,lf,Quadratic,3.02E-01,11.25,37.22,Tesla,2018,infection status did not have a significant effect on lifespan (p=0.6338)
Aedes aegypti,NA,pEA,Quadratic,5.99E-03,1.36E+01,3.83E+01,Tesla,2018,
