trait.name,T,trait,system_ID,mosquito_species,pathogen,lead_author,year,final.trait,transform,trait.from
MDR,24,0.074074,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,26,0.086957,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,28,0.102041,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,30,0.1,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,32,0.098039,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,34,0,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
EFD,20,13.08,Aedes albopictus / none,Aedes albopictus,none,Mordecai,2013,EFD,Identity,EFD
EFD,25,23.14,Aedes albopictus / none,Aedes albopictus,none,Mordecai,2013,EFD,Identity,EFD
EFD,30,22.13,Aedes albopictus / none,Aedes albopictus,none,Mordecai,2013,EFD,Identity,EFD
EFD,35,16.91,Aedes albopictus / none,Aedes albopictus,none,Mordecai,2013,EFD,Identity,EFD
lf,5,3.4736031013368005,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,10,5.879432500011232,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,15,15.488749100505007,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,20,16.8634526065411,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,25,19.647275194331367,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,30,7.82835849122116,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,35,5.813697684790804,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
lf,40,3.4728571873834384,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,lf,Identity,lf
c,20,0.781443299,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,0.725773196,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,0.641237113,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,0.655670103,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,25,0.727835052,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
b,20,0.06185567,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,20,0.037113402,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,30,0.760824742,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,30,0.962886598,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,25,0.672164948,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
lf,18,21.9,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,22,27.52,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,26,25.46,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,28,13.81,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,32,13.44,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,34,13.48,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,18,15.71,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,22,27.3,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,26,40.54,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,28,21.44,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,32,16.76,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,34,12.16,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,18,22.67,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,22,24.74,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,26,38.36,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,28,22.36,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,32,11.22,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
lf,34,10.92,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,lf,Identity,1/mu
EFD,18,2.141552511,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,22,2.449127907,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,26,23.98271799,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,28,4.822592324,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,32,3.764880952,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,34,7.262611276,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,18,0.248249523,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,22,4.318681319,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,26,2.205229403,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,28,3.922574627,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,32,0.799522673,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,34,0.279605263,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,18,3.074547861,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,22,0.598221504,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,26,5.596976017,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,28,17.40608229,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,32,2.254901961,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
EFD,34,0.164835165,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,EFD,Identity,EFD
c,16,0.0125,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
b,16,0,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
PDR,20,0.03378378378378378,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,26,0.0900900900900901,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
c,26,0.258,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,0.184,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,0.64,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,35,0.52,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
PDR,30,0.19379844961240308,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,35,0.19379844961240308,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
MDR,21,0.06161,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,24,0.07599,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,27,0.08688,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,30,0.10081,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
PDR,23.4,0.09091,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
PDR,36,0.2,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
PDR,8,0,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
PDR,36,0.2,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
PDR,31,0.16667,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
PDR,21,0.05556,Aedes aegypti / other flavivirus,Aedes aegypti,other flavivirus,Mordecai,2017,PDR,Identity,PDR
MDR,12,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,39,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
e2a,1,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,7,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,36,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,38,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,9,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,10,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,11,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,12,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,13,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,38,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,40,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,43,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,46,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,49,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,52,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,7,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,9,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,10,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,11,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,12,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,38,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,43,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,44,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,45,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,46,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,47,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,48,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,49,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,52,0,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
a,21.68742415,0.167518059,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,22.2943022,0.144213433,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,22.38953929,0.168599215,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,22.92476429,0.168082804,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,24.39558634,0.25167012,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,25.01425641,0.251952493,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,25.87751143,0.202140476,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,26.16176525,0.202270215,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,27.47748918,0.307846963,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
a,28.18628204,0.27698188,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,a,Identity,GCR
PDR,12.7926332,0.031166237950026786,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,13.0444544,0.039968389767925626,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,23.75322701,0.05006362949634004,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,23.89829743,0.07497572362919004,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,23.95725071,0.09806124927987986,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,30.04481175,0.0829559852216567,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,28.946104,0.2027400551606019,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,31.93480856,0.1435261650610146,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,34.37511156,0.2023555609858345,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
PDR,34.95802345,0.20866161996448473,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,PDR,Inverse,EIP
MDR,20,0.00104,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,25,0.09634,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,30,0.1218,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,20,0.06215,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,25,0.09285,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,30,0.12804,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,20,0.06427,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,25,0.08467,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
MDR,30,0.13333,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,MDR,Identity,MDR
e2a,20,0.56,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,25,0.92,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,30,0.94,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,20,0.54,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,25,0.82,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,30,0.86,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,20,0.7,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,25,0.86,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
e2a,30,1,Aedes aegypti / none,Aedes aegypti,none,Mordecai,2017,e2a,Identity,pEA
c,15,0.68,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,18,0.57,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,22,0.95,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,32,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,15,0.73,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,18,0.73,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,22,0.95,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,32,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,0.96,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,27,0.97,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,27,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,27,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,10,0.08,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,15,0.6,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,0.72,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,25,0.68,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,0.72,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,18,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,0.96,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,18,0.86,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,20,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,0.92,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,0.9,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,0.69,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,26,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,25,0.3,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,28,0.52,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,30,0.93,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,28,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,25,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,27,0.96,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
c,27,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,c,Identity,c
b,14,0.12,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,18,0.45,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,22,0.81,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,26,0.9,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,30,0.85,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,15,0.05,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,18,0.05,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,22,0.25,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,32,0.44,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,15,0,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,18,0.1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,22,0.51,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,32,0.48,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,20,0.83,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,27,0.83,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,20,0.9,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,27,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,20,0.93,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
b,27,1,Aedes aegypti / DENV,Aedes aegypti,DENV,Mordecai,2017,b,Identity,b
